Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.868-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.904-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.948-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.982-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.016-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.049-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.084-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.119-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.152-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.198-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.231-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.265-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.300-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.337-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.370-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.405-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.437-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.457-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:04.492-0500, Frequency : 902750, Phase : 160
